YEAR,GENOTYPE,ANTALL,PERCENT,FLAGG
2021,1a,0,0,0
2021,1b,0,0,0
2021,2,0,0,0
2021,2a,0,0,0
2021,2b,0,0,0
2021,2c,0,0,0
2021,2k1b,0,0,0
2021,3,0,0,0
2021,3a,0,0,0
2021,3h,0,0,0
2021,4a,0,0,0
2021,4k,0,0,0
2021,4t,0,0,0
2021,5a,0,0,0
2021,a,7,38.89,0
2021,b,1,5.56,0
2021,c,0,0,0
2021,d,0,0,0
2021,H,0,0,0
2021,IKKE,0,0,0
2021,IU,0,0,0
2021,KO,0,0,0
2021,MR,4,22.22,0
2021,n,0,0,0
2021,PRLM,1,5.56,0
2021,NA,5,27.78,0
2022,1a,0,0,0
2022,1b,0,0,0
2022,2,0,0,0
2022,2a,0,0,0
2022,2b,0,0,0
2022,2c,0,0,0
2022,2k1b,0,0,0
2022,3,0,0,0
2022,3a,0,0,0
2022,3h,0,0,0
2022,4a,0,0,0
2022,4k,0,0,0
2022,4t,0,0,0
2022,5a,0,0,0
2022,a,127,64.47,0
2022,b,38,19.29,0
2022,c,7,3.55,0
2022,d,1,0.51,0
2022,H,0,0,0
2022,IKKE,0,0,0
2022,IU,21,10.66,0
2022,KO,2,1.02,0
2022,MR,0,0,0
2022,n,0,0,0
2022,PRLM,0,0,0
2022,NA,1,0.51,0
2023,1a,6,1.19,0
2023,1b,7,1.39,0
2023,2,1,0.2,0
2023,2a,0,0,0
2023,2b,2,0.4,0
2023,2c,1,0.2,0
2023,2k1b,2,0.4,0
2023,3,1,0.2,0
2023,3a,10,1.98,0
2023,3h,0,0,0
2023,4a,3,0.59,0
2023,4k,0,0,0
2023,4t,1,0.2,0
2023,5a,1,0.2,0
2023,a,174,34.46,0
2023,b,54,10.69,0
2023,c,21,4.16,0
2023,d,1,0.2,0
2023,H,1,0.2,0
2023,IKKE,19,3.76,0
2023,IU,184,36.44,0
2023,KO,0,0,0
2023,MR,0,0,0
2023,n,1,0.2,0
2023,PRLM,0,0,0
2023,NA,15,2.97,0
2024,1a,34,8.85,0
2024,1b,21,5.47,0
2024,2,0,0,0
2024,2a,3,0.78,0
2024,2b,3,0.78,0
2024,2c,1,0.26,0
2024,2k1b,1,0.26,0
2024,3,0,0,0
2024,3a,74,19.27,0
2024,3h,1,0.26,0
2024,4a,0,0,0
2024,4k,3,0.78,0
2024,4t,0,0,0
2024,5a,0,0,0
2024,a,0,0,0
2024,b,0,0,0
2024,c,0,0,0
2024,d,0,0,0
2024,H,0,0,0
2024,IKKE,30,7.81,0
2024,IU,0,0,0
2024,KO,0,0,0
2024,MR,0,0,0
2024,n,0,0,0
2024,PRLM,0,0,0
2024,NA,213,55.47,0
