PANGOLIN_NOM,CATEGORY,ANTALL,SPVFLAGG
EG.5.1.1,CURR_MONTH_PERC,32.14,0
EG.5.1.1,PREV_MONTH_PERC,14.29,0
EG.5.1.1,PERC_CHANGE,124.9,0
EG.5.1.3,CURR_MONTH_PERC,14.29,0
EG.5.1.3,PREV_MONTH_PERC,5.19,0
EG.5.1.3,PERC_CHANGE,175.3,0
XBB.1.16,CURR_MONTH_PERC,14.29,0
XBB.1.16,PREV_MONTH_PERC,14.29,0
XBB.1.16,PERC_CHANGE,  0.0,0
EG.6.1,CURR_MONTH_PERC,3.57,0
EG.6.1,PREV_MONTH_PERC,7.79,0
EG.6.1,PERC_CHANGE,-54.2,0
XBB.2.3,CURR_MONTH_PERC,3.57,0
XBB.2.3,PREV_MONTH_PERC,6.49,0
XBB.2.3,PERC_CHANGE,-45.0,0
GE.1,CURR_MONTH_PERC,3.57,0
GE.1,PREV_MONTH_PERC,3.9,0
GE.1,PERC_CHANGE, -8.5,0
GJ.1.2,CURR_MONTH_PERC,3.57,0
GJ.1.2,PREV_MONTH_PERC,3.9,0
GJ.1.2,PERC_CHANGE, -8.5,0
BQ.1.2.2,CURR_MONTH_PERC,3.57,0
BQ.1.2.2,PREV_MONTH_PERC,NA,0
BQ.1.2.2,PERC_CHANGE,   NA,0
FW.1,CURR_MONTH_PERC,3.57,0
FW.1,PREV_MONTH_PERC,NA,0
FW.1,PERC_CHANGE,   NA,0
XBB.1.16.15,CURR_MONTH_PERC,3.57,0
XBB.1.16.15,PREV_MONTH_PERC,1.3,0
XBB.1.16.15,PERC_CHANGE,174.6,0
