PANGO_SHORT,ANTALL,CATEGORY,SPVFLAGG
BA.2.75,51,TOTAL_OBS,0
CH.1.1,379,TOTAL_OBS,0
XBB.1.9.1,187,TOTAL_OBS,0
XBB.1.9.2,43,TOTAL_OBS,0
XBB.2.3,58,TOTAL_OBS,0
BA.2.75,0,2023-aug,2
CH.1.1,1,2023-aug,0
XBB.1.9.1,1,2023-aug,0
XBB.1.9.2,0,2023-aug,2
XBB.2.3,2,2023-aug,0
BA.2.75,0,2023-jul,2
XBB.1.9.1,1,2023-jul,0
XBB.1.9.2,1,2023-jul,0
XBB.2.3,9,2023-jul,0
CH.1.1,0,2023-jul,2
BA.2.75,0,2023-jun,2
CH.1.1,1,2023-jun,0
XBB.1.9.1,13,2023-jun,0
XBB.1.9.2,3,2023-jun,0
XBB.2.3,10,2023-jun,0
BA.2.75,0,2023-sep,2
CH.1.1,0,2023-sep,2
XBB.1.9.1,0,2023-sep,2
XBB.1.9.2,0,2023-sep,2
XBB.2.3,0,2023-sep,2
