PANGOLIN_NOM,CATEGORY,ANTALL,SPVFLAGG
JG.3,PREV_MONTH_ANTALL,7,0
JG.3,CURR_MONTH_ANTALL,22,0
JG.3,PREV_MONTH_PERC,4.2,0
JG.3,CURR_MONTH_PERC,17.5,0
JG.3,PERC_CHANGE,13.2,0
HK.3,PREV_MONTH_ANTALL,19,0
HK.3,CURR_MONTH_ANTALL,13,0
HK.3,PREV_MONTH_PERC,11.5,0
HK.3,CURR_MONTH_PERC,10.3,0
HK.3,PERC_CHANGE,-1.2,0
EG.5.1.1,PREV_MONTH_ANTALL,19,0
EG.5.1.1,CURR_MONTH_ANTALL,11,0
EG.5.1.1,PREV_MONTH_PERC,11.5,0
EG.5.1.1,CURR_MONTH_PERC,8.7,0
EG.5.1.1,PERC_CHANGE,-2.8,0
EG.5.1.3,PREV_MONTH_ANTALL,10,0
EG.5.1.3,CURR_MONTH_ANTALL,7,0
EG.5.1.3,PREV_MONTH_PERC,6.1,0
EG.5.1.3,CURR_MONTH_PERC,5.6,0
EG.5.1.3,PERC_CHANGE,-0.5,0
EG.5.1,PREV_MONTH_ANTALL,17,0
EG.5.1,CURR_MONTH_ANTALL,6,0
EG.5.1,PREV_MONTH_PERC,10.3,0
EG.5.1,CURR_MONTH_PERC,4.8,0
EG.5.1,PERC_CHANGE,-5.5,0
FL.1.5.1,PREV_MONTH_ANTALL,3,0
FL.1.5.1,CURR_MONTH_ANTALL,6,0
FL.1.5.1,PREV_MONTH_PERC,1.8,0
FL.1.5.1,CURR_MONTH_PERC,4.8,0
FL.1.5.1,PERC_CHANGE,2.9,0
HV.1,PREV_MONTH_ANTALL,6,0
HV.1,CURR_MONTH_ANTALL,6,0
HV.1,PREV_MONTH_PERC,3.6,0
HV.1,CURR_MONTH_PERC,4.8,0
HV.1,PERC_CHANGE,1.1,0
JD.1.1,PREV_MONTH_ANTALL,1,0
JD.1.1,CURR_MONTH_ANTALL,6,0
JD.1.1,PREV_MONTH_PERC,0.6,0
JD.1.1,CURR_MONTH_PERC,4.8,0
JD.1.1,PERC_CHANGE,4.2,0
XBB.1.16.11,PREV_MONTH_ANTALL,3,0
XBB.1.16.11,CURR_MONTH_ANTALL,5,0
XBB.1.16.11,PREV_MONTH_PERC,1.8,0
XBB.1.16.11,CURR_MONTH_PERC,4.0,0
XBB.1.16.11,PERC_CHANGE,2.2,0
GK.1,PREV_MONTH_ANTALL,1,0
GK.1,CURR_MONTH_ANTALL,3,0
GK.1,PREV_MONTH_PERC,0.6,0
GK.1,CURR_MONTH_PERC,2.4,0
GK.1,PERC_CHANGE,1.8,0
