MONTH,MALTALL,VARIANT,OBS,SPVFLAGG
September,Antall,JG3,7,0
September,Prosent,JG3,4.2,0
Oktober,Antall,JG3,22,0
Oktober,Prosent,JG3,17.5,0
September,Antall,HK3,19,0
September,Prosent,HK3,11.5,0
Oktober,Antall,HK3,13,0
Oktober,Prosent,HK3,10.3,0
September,Antall,EG.5.1.1,19,0
September,Prosent,EG.5.1.1,11.5,0
Oktober,Antall,EG.5.1.1,11,0
Oktober,Prosent,EG.5.1.1,8.7,0
September,Antall,EG.5.1.3,10,0
September,Prosent,EG.5.1.3,6.1,0
Oktober,Antall,EG.5.1.3,7,0
Oktober,Prosent,EG.5.1.3,5.6,0
September,Antall,EG.5.1,17,0
September,Prosent,EG.5.1,10.3,0
Oktober,Antall,EG.5.1,6,0
Oktober,Prosent,EG.5.1,4.8,0
September,Antall,FL.1.5.1,3,0
September,Prosent,FL.1.5.1,1.8,0
Oktober,Antall,FL.1.5.1,6,0
Oktober,Prosent,FL.1.5.1,4.8,0
September,Antall,HV.1,6,0
September,Prosent,HV.1,3.6,0
Oktober,Antall,HV.1,6,0
Oktober,Prosent,HV.1,4.8,0
September,Antall,JD.1.1,1,0
September,Prosent,JD.1.1,0.6,0
Oktober,Antall,JD.1.1,6,0
Oktober,Prosent,JD.1.1,4.8,0
September,Antall,XBB.1.16.11,3,0
September,Prosent,XBB.1.16.11,1.8,0
Oktober,Antall,XBB.1.16.11,5,0
Oktober,Prosent,XBB.1.16.11,4.0,0
September,Antall,GK.1,1,0
September,Prosent,GK.1,0.6,0
Oktober,Antall,GK.1,3,0
Oktober,Prosent,GK.1,2.4,0
