MONTH,MALTALL,VARIANT,OBS,SPVFLAGG
November,Antall,BA.2.86.1,13,0
November,Prosent,BA.2.86.1,7.4,0
Oktober,Antall,BA.2.86.1,0,0
Oktober,Prosent,BA.2.86.1,0,0
November,Antall,BA.2.86.2,5,0
November,Prosent,BA.2.86.2,2.9,0
Oktober,Antall,BA.2.86.2,0,0
Oktober,Prosent,BA.2.86.2,0,0
November,Antall,EG.5.1,5,0
November,Prosent,EG.5.1,2.9,0
Oktober,Antall,EG.5.1,6,0
Oktober,Prosent,EG.5.1,3.2,0
November,Antall,HK.3,17,0
November,Prosent,HK.3,9.7,0
Oktober,Antall,HK.3,19,0
Oktober,Prosent,HK.3,10.1,0
November,Antall,HK.3.2,6,0
November,Prosent,HK.3.2,3.4,0
Oktober,Antall,HK.3.2,0,0
Oktober,Prosent,HK.3.2,0,0
November,Antall,HV.1,15,0
November,Prosent,HV.1,8.6,0
Oktober,Antall,HV.1,9,0
Oktober,Prosent,HV.1,4.8,0
November,Antall,JD.1.1,8,0
November,Prosent,JD.1.1,4.6,0
Oktober,Antall,JD.1.1,8,0
Oktober,Prosent,JD.1.1,4.2,0
November,Antall,JG.3,21,0
November,Prosent,JG.3,12,0
Oktober,Antall,JG.3,30,0
Oktober,Prosent,JG.3,15.9,0
November,Antall,JN.1,26,0
November,Prosent,JN.1,14.9,0
Oktober,Antall,JN.1,0,0
Oktober,Prosent,JN.1,0,0
November,Antall,JN.3,6,0
November,Prosent,JN.3,3.4,0
Oktober,Antall,JN.3,0,0
Oktober,Prosent,JN.3,0,0
