MONTH,VARIANT,ANTALL,PROSENT,SPVFLAGG
November,JN.1,50,18.1,0
Desember,JN.1,46,41.4,0
November,JG.3,30,10.9,0
Desember,JG.3,8,7.2,0
November,HK.3,24,8.7,0
Desember,HK.3,1,0.9,0
November,HV.1,22,8.0,0
Desember,HV.1,5,4.5,0
November,BA.2.86.1,24,8.7,0
Desember,BA.2.86.1,13,11.7,0
November,JD.1.1,9,3.3,0
Desember,JD.1.1,3,2.7,0
November,JN.3,12,4.3,0
Desember,JN.3,5,4.5,0
November,EG.5.1,7,2.5,0
Desember,EG.5.1,0,0,0
November,EG.5.1.1,9,3.3,0
Desember,EG.5.1.1,0,0,0
November,HK.3.2,6,2.2,0
Desember,HK.3.2,1,0.9,0
